,id,model,grid_num,reward,best_reward
552,16,pressure,24,0,0
553,16,pressure,25,-1,0
554,16,pressure,26,2,2
555,16,pressure,27,-1,-1
556,16,pressure,28,2,2
557,16,pressure,29,0,0
558,16,pressure,30,0,0
559,16,pressure,31,0,0
560,16,pressure,32,0,0
561,17,pressure,0,-1,-1
562,17,pressure,1,0,1
563,17,pressure,2,0,0
564,17,pressure,3,-2,1
565,17,pressure,4,2,2
566,17,pressure,5,2,2
567,17,pressure,6,-1,-1
568,17,pressure,7,-2,-2
569,17,pressure,8,2,2
570,17,pressure,9,0,0
571,17,pressure,10,-1,-1
572,17,pressure,11,2,2
573,17,pressure,12,-2,-1
574,17,pressure,13,0,1
575,17,pressure,14,-1,-1
576,17,pressure,15,1,1
577,17,pressure,16,2,2
578,17,pressure,17,1,1
579,17,pressure,18,-1,-1
580,17,pressure,19,1,1
581,17,pressure,20,1,1
582,17,pressure,21,0,0
583,17,pressure,22,0,0
584,17,pressure,23,1,1
585,17,pressure,24,-2,0
586,17,pressure,25,-1,0
587,17,pressure,26,2,2
588,17,pressure,27,-1,-1
589,17,pressure,28,2,2
590,17,pressure,29,0,0
591,17,pressure,30,0,0
592,17,pressure,31,0,0
593,17,pressure,32,0,0
594,18,pressure,0,-1,-1
595,18,pressure,1,0,1
596,18,pressure,2,0,0
597,18,pressure,3,1,1
598,18,pressure,4,2,2
599,18,pressure,5,2,2
600,18,pressure,6,-1,-1
601,18,pressure,7,-2,-2
602,18,pressure,8,2,2
603,18,pressure,9,0,0
604,18,pressure,10,-1,-1
605,18,pressure,11,2,2
606,18,pressure,12,-2,-1
607,18,pressure,13,1,1
608,18,pressure,14,-2,-1
609,18,pressure,15,1,1
610,18,pressure,16,2,2
611,18,pressure,17,1,1
612,18,pressure,18,-1,-1
613,18,pressure,19,1,1
614,18,pressure,20,-1,1
615,18,pressure,21,0,0
616,18,pressure,22,0,0
617,18,pressure,23,1,1
618,18,pressure,24,0,0
619,18,pressure,25,0,0
620,18,pressure,26,2,2
621,18,pressure,27,-1,-1
622,18,pressure,28,2,2
623,18,pressure,29,0,0
624,18,pressure,30,0,0
625,18,pressure,31,0,0
626,18,pressure,32,0,0
627,19,pressure,0,-1,-1
628,19,pressure,1,0,1
629,19,pressure,2,0,0
630,19,pressure,3,-2,1
631,19,pressure,4,2,2
632,19,pressure,5,2,2
633,19,pressure,6,-1,-1
634,19,pressure,7,-2,-2
635,19,pressure,8,2,2
636,19,pressure,9,0,0
637,19,pressure,10,-1,-1
638,19,pressure,11,2,2
639,19,pressure,12,-1,-1
640,19,pressure,13,1,1
641,19,pressure,14,-1,-1
642,19,pressure,15,1,1
643,19,pressure,16,2,2
644,19,pressure,17,1,1
645,19,pressure,18,-1,-1
646,19,pressure,19,1,1
647,19,pressure,20,1,1
648,19,pressure,21,0,0
649,19,pressure,22,0,0
650,19,pressure,23,1,1
651,19,pressure,24,0,0
652,19,pressure,25,-1,0
653,19,pressure,26,2,2
654,19,pressure,27,-1,-1
655,19,pressure,28,2,2
656,19,pressure,29,0,0
657,19,pressure,30,0,0
658,19,pressure,31,0,0
659,19,pressure,32,0,0
660,20,pressure,0,-1,-1
661,20,pressure,1,0,1
662,20,pressure,2,0,0
663,20,pressure,3,-2,1
664,20,pressure,4,2,2
665,20,pressure,5,2,2
666,20,pressure,6,-1,-1
667,20,pressure,7,-2,-2
668,20,pressure,8,2,2
669,20,pressure,9,0,0
670,20,pressure,10,-1,-1
671,20,pressure,11,2,2
672,20,pressure,12,-2,-1
673,20,pressure,13,1,1
674,20,pressure,14,-2,-1
675,20,pressure,15,1,1
676,20,pressure,16,2,2
677,20,pressure,17,1,1
678,20,pressure,18,-1,-1
679,20,pressure,19,1,1
680,20,pressure,20,1,1
681,20,pressure,21,0,0
682,20,pressure,22,0,0
683,20,pressure,23,1,1
684,20,pressure,24,0,0
685,20,pressure,25,0,0
686,20,pressure,26,2,2
687,20,pressure,27,-1,-1
688,20,pressure,28,2,2
689,20,pressure,29,0,0
690,20,pressure,30,0,0
691,20,pressure,31,0,0
692,20,pressure,32,0,0
693,21,pressure,0,-1,-1
694,21,pressure,1,0,1
695,21,pressure,2,0,0
696,21,pressure,3,-2,1
697,21,pressure,4,0,2
698,21,pressure,5,2,2
699,21,pressure,6,-1,-1
700,21,pressure,7,-2,-2
701,21,pressure,8,2,2
702,21,pressure,9,0,0
703,21,pressure,10,-1,-1
704,21,pressure,11,2,2
705,21,pressure,12,-2,-1
706,21,pressure,13,1,1
707,21,pressure,14,-2,-1
708,21,pressure,15,-1,1
709,21,pressure,16,2,2
710,21,pressure,17,1,1
711,21,pressure,18,-1,-1
712,21,pressure,19,1,1
713,21,pressure,20,-1,1
714,21,pressure,21,0,0
715,21,pressure,22,0,0
716,21,pressure,23,1,1
717,21,pressure,24,-2,0
718,21,pressure,25,0,0
719,21,pressure,26,2,2
720,21,pressure,27,-1,-1
721,21,pressure,28,2,2
722,21,pressure,29,0,0
723,21,pressure,30,-2,0
724,21,pressure,31,0,0
725,21,pressure,32,0,0
726,22,pressure,0,-1,-1
727,22,pressure,1,0,1
728,22,pressure,2,-2,0
729,22,pressure,3,-2,1
730,22,pressure,4,2,2
731,22,pressure,5,2,2
732,22,pressure,6,-1,-1
733,22,pressure,7,-2,-2
734,22,pressure,8,2,2
735,22,pressure,9,0,0
736,22,pressure,10,-1,-1
737,22,pressure,11,2,2
738,22,pressure,12,-2,-1
739,22,pressure,13,1,1
740,22,pressure,14,-2,-1
741,22,pressure,15,1,1
742,22,pressure,16,2,2
743,22,pressure,17,1,1
744,22,pressure,18,-1,-1
745,22,pressure,19,1,1
746,22,pressure,20,1,1
747,22,pressure,21,0,0
748,22,pressure,22,0,0
749,22,pressure,23,1,1
750,22,pressure,24,0,0
751,22,pressure,25,-1,0
752,22,pressure,26,2,2
753,22,pressure,27,-1,-1
754,22,pressure,28,2,2
755,22,pressure,29,0,0
756,22,pressure,30,0,0
757,22,pressure,31,0,0
758,22,pressure,32,0,0
759,23,pressure,0,-1,-1
760,23,pressure,1,0,1
761,23,pressure,2,0,0
762,23,pressure,3,-2,1
763,23,pressure,4,2,2
764,23,pressure,5,2,2
765,23,pressure,6,-1,-1
766,23,pressure,7,-2,-2
767,23,pressure,8,2,2
768,23,pressure,9,0,0
769,23,pressure,10,-1,-1
770,23,pressure,11,2,2
