,score_dif,time_constraint,in_distrib,time_x_distrib,userid,gridnum,push,time_x_push,no_time
152,-1,-0.5,-0.5,0.25,4,106,0.5,-0.25,-2
153,-1,-0.5,0.5,-0.25,4,304,0.0,-0.0,-1
154,0,-0.5,0.5,-0.25,9,302,0.0,-0.0,0
155,-1,-0.5,-0.5,0.25,9,108,0.5,-0.25,-2
156,0,-0.5,0.5,-0.25,9,406,0.0,-0.0,1
157,0,-0.5,0.5,-0.25,9,307,0.0,-0.0,0
158,0,-0.5,0.5,-0.25,9,305,0.0,-0.0,0
159,0,-0.5,-0.5,0.25,9,201,-0.5,0.25,-1
160,0,-0.5,-0.5,0.25,9,205,-0.5,0.25,-1
161,-1,-0.5,0.5,-0.25,9,304,0.0,-0.0,-1
162,0,-0.5,0.5,-0.25,9,407,0.0,-0.0,1
163,0,-0.5,0.5,-0.25,9,308,0.0,-0.0,0
164,0,-0.5,0.5,-0.25,9,303,0.0,-0.0,0
165,0,-0.5,0.5,-0.25,9,401,0.0,-0.0,1
166,0,-0.5,-0.5,0.25,9,206,-0.5,0.25,-1
167,-1,-0.5,-0.5,0.25,9,102,0.5,-0.25,-2
168,0,-0.5,0.5,-0.25,9,408,0.0,-0.0,1
169,0,-0.5,-0.5,0.25,9,203,-0.5,0.25,-1
170,0,-0.5,0.5,-0.25,9,402,0.0,-0.0,1
171,0,-0.5,-0.5,0.25,9,104,0.5,-0.25,-1
172,0,-0.5,-0.5,0.25,9,101,0.5,-0.25,-1
173,0,-0.5,-0.5,0.25,9,106,0.5,-0.25,-1
174,0,-0.5,-0.5,0.25,9,204,-0.5,0.25,-1
175,0,-0.5,0.5,-0.25,9,403,0.0,-0.0,1
176,-1,-0.5,0.5,-0.25,9,405,0.0,-0.0,0
177,0,-0.5,0.5,-0.25,9,404,0.0,-0.0,1
178,0,-0.5,-0.5,0.25,9,103,0.5,-0.25,-1
179,0,-0.5,-0.5,0.25,9,107,0.5,-0.25,-1
180,0,-0.5,-0.5,0.25,9,105,0.5,-0.25,-1
181,0,-0.5,0.5,-0.25,9,306,0.0,-0.0,0
182,0,-0.5,0.5,-0.25,9,301,0.0,-0.0,0
183,0,-0.5,-0.5,0.25,9,208,-0.5,0.25,-1
