,id,model,grid_num,reward,best_reward
1295,39,pressure,8,2,2
1296,39,pressure,9,0,0
1297,39,pressure,10,-1,-1
1298,39,pressure,11,2,2
1299,39,pressure,12,-2,-1
1300,39,pressure,13,1,1
1301,39,pressure,14,-2,-1
1302,39,pressure,15,1,1
1303,39,pressure,16,2,2
1304,39,pressure,17,1,1
1305,39,pressure,18,-1,-1
1306,39,pressure,19,1,1
1307,39,pressure,20,1,1
1308,39,pressure,21,0,0
1309,39,pressure,22,0,0
1310,39,pressure,23,1,1
1311,39,pressure,24,0,0
1312,39,pressure,25,0,0
1313,39,pressure,26,2,2
1314,39,pressure,27,-1,-1
1315,39,pressure,28,2,2
1316,39,pressure,29,0,0
1317,39,pressure,30,0,0
1318,39,pressure,31,0,0
1319,39,pressure,32,0,0
1320,40,pressure,0,-1,-1
1321,40,pressure,1,0,1
1322,40,pressure,2,0,0
1323,40,pressure,3,-2,1
1324,40,pressure,4,2,2
1325,40,pressure,5,2,2
1326,40,pressure,6,-1,-1
1327,40,pressure,7,-2,-2
1328,40,pressure,8,2,2
1329,40,pressure,9,0,0
1330,40,pressure,10,-1,-1
1331,40,pressure,11,2,2
1332,40,pressure,12,-2,-1
1333,40,pressure,13,1,1
1334,40,pressure,14,-2,-1
1335,40,pressure,15,1,1
1336,40,pressure,16,2,2
1337,40,pressure,17,1,1
1338,40,pressure,18,-1,-1
1339,40,pressure,19,1,1
1340,40,pressure,20,-1,1
1341,40,pressure,21,0,0
1342,40,pressure,22,0,0
1343,40,pressure,23,1,1
1344,40,pressure,24,0,0
1345,40,pressure,25,-1,0
1346,40,pressure,26,2,2
1347,40,pressure,27,-1,-1
1348,40,pressure,28,2,2
1349,40,pressure,29,0,0
1350,40,pressure,30,0,0
1351,40,pressure,31,0,0
1352,40,pressure,32,0,0
1353,41,pressure,0,-1,-1
1354,41,pressure,1,0,1
1355,41,pressure,2,0,0
1356,41,pressure,3,-2,1
1357,41,pressure,4,2,2
1358,41,pressure,5,2,2
1359,41,pressure,6,-1,-1
1360,41,pressure,7,-2,-2
1361,41,pressure,8,2,2
1362,41,pressure,9,0,0
1363,41,pressure,10,-1,-1
1364,41,pressure,11,2,2
1365,41,pressure,12,-2,-1
1366,41,pressure,13,1,1
1367,41,pressure,14,-2,-1
1368,41,pressure,15,1,1
1369,41,pressure,16,2,2
1370,41,pressure,17,0,1
1371,41,pressure,18,-1,-1
1372,41,pressure,19,1,1
1373,41,pressure,20,1,1
1374,41,pressure,21,0,0
1375,41,pressure,22,0,0
1376,41,pressure,23,1,1
1377,41,pressure,24,0,0
1378,41,pressure,25,-1,0
1379,41,pressure,26,2,2
1380,41,pressure,27,-1,-1
1381,41,pressure,28,2,2
1382,41,pressure,29,0,0
1383,41,pressure,30,-2,0
1384,41,pressure,31,0,0
1385,41,pressure,32,0,0
1386,42,pressure,0,-2,-1
1387,42,pressure,1,0,1
1388,42,pressure,2,0,0
1389,42,pressure,3,-2,1
1390,42,pressure,4,2,2
1391,42,pressure,5,2,2
1392,42,pressure,6,-1,-1
1393,42,pressure,7,-2,-2
1394,42,pressure,8,2,2
1395,42,pressure,9,0,0
1396,42,pressure,10,-1,-1
1397,42,pressure,11,2,2
1398,42,pressure,12,-2,-1
1399,42,pressure,13,1,1
1400,42,pressure,14,-1,-1
1401,42,pressure,15,1,1
1402,42,pressure,16,2,2
1403,42,pressure,17,1,1
1404,42,pressure,18,-1,-1
1405,42,pressure,19,1,1
1406,42,pressure,20,1,1
1407,42,pressure,21,0,0
1408,42,pressure,22,0,0
1409,42,pressure,23,1,1
1410,42,pressure,24,0,0
1411,42,pressure,25,0,0
1412,42,pressure,26,2,2
1413,42,pressure,27,-1,-1
1414,42,pressure,28,2,2
1415,42,pressure,29,0,0
1416,42,pressure,30,0,0
1417,42,pressure,31,0,0
1418,42,pressure,32,0,0
1419,43,pressure,0,-1,-1
1420,43,pressure,1,0,1
1421,43,pressure,2,0,0
1422,43,pressure,3,-2,1
1423,43,pressure,4,2,2
1424,43,pressure,5,2,2
1425,43,pressure,6,-1,-1
1426,43,pressure,7,-2,-2
1427,43,pressure,8,2,2
1428,43,pressure,9,0,0
1429,43,pressure,10,-1,-1
1430,43,pressure,11,2,2
1431,43,pressure,12,-1,-1
1432,43,pressure,13,1,1
1433,43,pressure,14,-1,-1
1434,43,pressure,15,1,1
1435,43,pressure,16,2,2
1436,43,pressure,17,1,1
1437,43,pressure,18,-1,-1
1438,43,pressure,19,1,1
1439,43,pressure,20,1,1
1440,43,pressure,21,0,0
1441,43,pressure,22,0,0
1442,43,pressure,23,1,1
1443,43,pressure,24,0,0
1444,43,pressure,25,-1,0
1445,43,pressure,26,2,2
1446,43,pressure,27,-1,-1
1447,43,pressure,28,2,2
1448,43,pressure,29,-1,0
1449,43,pressure,30,0,0
1450,43,pressure,31,0,0
1451,43,pressure,32,0,0
1452,44,pressure,0,-1,-1
1453,44,pressure,1,0,1
1454,44,pressure,2,0,0
1455,44,pressure,3,-2,1
1456,44,pressure,4,2,2
1457,44,pressure,5,2,2
1458,44,pressure,6,-1,-1
1459,44,pressure,7,-2,-2
1460,44,pressure,8,2,2
1461,44,pressure,9,0,0
1462,44,pressure,10,-1,-1
1463,44,pressure,11,2,2
1464,44,pressure,12,-2,-1
1465,44,pressure,13,1,1
1466,44,pressure,14,-2,-1
1467,44,pressure,15,1,1
1468,44,pressure,16,2,2
1469,44,pressure,17,1,1
1470,44,pressure,18,-1,-1
1471,44,pressure,19,1,1
1472,44,pressure,20,1,1
1473,44,pressure,21,0,0
1474,44,pressure,22,0,0
1475,44,pressure,23,1,1
1476,44,pressure,24,0,0
1477,44,pressure,25,0,0
1478,44,pressure,26,2,2
1479,44,pressure,27,-1,-1
1480,44,pressure,28,2,2
1481,44,pressure,29,0,0
1482,44,pressure,30,0,0
1483,44,pressure,31,0,0
1484,44,pressure,32,0,0
1485,45,pressure,0,-1,-1
1486,45,pressure,1,0,1
1487,45,pressure,2,0,0
1488,45,pressure,3,-2,1
1489,45,pressure,4,2,2
1490,45,pressure,5,2,2
1491,45,pressure,6,-1,-1
1492,45,pressure,7,-2,-2
1493,45,pressure,8,2,2
1494,45,pressure,9,0,0
1495,45,pressure,10,-1,-1
1496,45,pressure,11,2,2
1497,45,pressure,12,-2,-1
1498,45,pressure,13,1,1
1499,45,pressure,14,-2,-1
1500,45,pressure,15,1,1
1501,45,pressure,16,2,2
1502,45,pressure,17,1,1
1503,45,pressure,18,-1,-1
1504,45,pressure,19,1,1
1505,45,pressure,20,1,1
1506,45,pressure,21,0,0
1507,45,pressure,22,0,0
1508,45,pressure,23,1,1
1509,45,pressure,24,-2,0
1510,45,pressure,25,0,0
1511,45,pressure,26,2,2
1512,45,pressure,27,-1,-1
1513,45,pressure,28,2,2
1514,45,pressure,29,0,0
1515,45,pressure,30,0,0
1516,45,pressure,31,0,0
1517,45,pressure,32,0,0
1518,46,pressure,0,-1,-1
1519,46,pressure,1,0,1
1520,46,pressure,2,0,0
1521,46,pressure,3,-2,1
1522,46,pressure,4,2,2
1523,46,pressure,5,2,2
1524,46,pressure,6,-1,-1
1525,46,pressure,7,-2,-2
1526,46,pressure,8,2,2
1527,46,pressure,9,0,0
1528,46,pressure,10,-1,-1
1529,46,pressure,11,2,2
1530,46,pressure,12,-2,-1
1531,46,pressure,13,1,1
1532,46,pressure,14,-1,-1
1533,46,pressure,15,1,1
1534,46,pressure,16,2,2
1535,46,pressure,17,1,1
1536,46,pressure,18,-1,-1
1537,46,pressure,19,1,1
1538,46,pressure,20,1,1
1539,46,pressure,21,0,0
1540,46,pressure,22,0,0
1541,46,pressure,23,1,1
1542,46,pressure,24,0,0
1543,46,pressure,25,-1,0
1544,46,pressure,26,2,2
1545,46,pressure,27,-1,-1
1546,46,pressure,28,2,2
1547,46,pressure,29,0,0
1548,46,pressure,30,0,0
1549,46,pressure,31,0,0
1550,46,pressure,32,0,0
1551,47,pressure,0,-1,-1
1552,47,pressure,1,0,1
1553,47,pressure,2,0,0
1554,47,pressure,3,-2,1
1555,47,pressure,4,2,2
1556,47,pressure,5,2,2
1557,47,pressure,6,-1,-1
1558,47,pressure,7,-2,-2
1559,47,pressure,8,2,2
1560,47,pressure,9,0,0
1561,47,pressure,10,-1,-1
1562,47,pressure,11,2,2
1563,47,pressure,12,-2,-1
1564,47,pressure,13,1,1
1565,47,pressure,14,-2,-1
1566,47,pressure,15,1,1
1567,47,pressure,16,2,2
1568,47,pressure,17,1,1
1569,47,pressure,18,-1,-1
1570,47,pressure,19,1,1
1571,47,pressure,20,1,1
1572,47,pressure,21,0,0
1573,47,pressure,22,0,0
1574,47,pressure,23,1,1
1575,47,pressure,24,0,0
1576,47,pressure,25,-1,0
1577,47,pressure,26,2,2
1578,47,pressure,27,-1,-1
1579,47,pressure,28,2,2
1580,47,pressure,29,0,0
1581,47,pressure,30,0,0
1582,47,pressure,31,0,0
1583,47,pressure,32,0,0
1584,48,pressure,0,-1,-1
1585,48,pressure,1,0,1
1586,48,pressure,2,0,0
1587,48,pressure,3,1,1
1588,48,pressure,4,2,2
1589,48,pressure,5,2,2
1590,48,pressure,6,-1,-1
1591,48,pressure,7,-2,-2
1592,48,pressure,8,0,2
1593,48,pressure,9,0,0
1594,48,pressure,10,-1,-1
1595,48,pressure,11,2,2
1596,48,pressure,12,-2,-1
1597,48,pressure,13,1,1
1598,48,pressure,14,-1,-1
1599,48,pressure,15,1,1
1600,48,pressure,16,2,2
1601,48,pressure,17,0,1
1602,48,pressure,18,-1,-1
1603,48,pressure,19,1,1
1604,48,pressure,20,1,1
